Block Chrom StartBP EndBP
429 13 77410555 82581814
430 13 82581814 93129691
431 13 93129691 97519210
432 13 97519210 100574095
433 13 100574095 104066710
434 13 104066710 106247554
435 13 106247554 108189877
436 13 108189877 109815112
437 13 109815112 115109853
438 14 19002084 21589402
439 14 21589402 24905123
440 14 24905123 28466533
441 14 28466533 32383265
442 14 32383265 34846251
443 14 34846251 40341990
444 14 40341990 48573586
445 14 48573586 53474383
446 14 53474383 57481262
447 14 57481262 63790015
448 14 63790015 71131957
449 14 71131957 76444767
450 14 76444767 80186579
451 14 80186579 85746319
452 14 85746319 91296860
453 14 91296860 94325285
454 14 94325285 96262415
455 14 96262415 98341162
456 14 98341162 101534307
457 14 101534307 107289454
458 15 20001200 27298112
459 15 27298112 30165568
460 15 30165568 34015425
461 15 34015425 37456502
462 15 37456502 41177514
463 15 41177514 50008043
464 15 50008043 55136269
465 15 55136269 59694116
466 15 59694116 63215222
467 15 63215222 69017999
468 15 69017999 71922649
469 15 71922649 80860978
470 15 80860978 86652905
471 15 86652905 90475551
472 15 90475551 93780902
473 15 93780902 94924330
474 15 94924330 98030910
475 15 98030910 100636847
476 15 100636847 102520966
477 16 60054 2764829
478 16 2764829 5891580
479 16 5891580 7529121
480 16 7529121 9799419
481 16 9799419 12613098
482 16 12613098 16154060
483 16 16154060 20150571
484 16 20150571 24136875
485 16 24136875 27445755
486 16 27445755 52035823
487 16 52035823 55903774
488 16 55903774 59045405
489 16 59045405 63691589
490 16 63691589 71054028
491 16 71054028 75977954
492 16 75977954 79134815
493 16 79134815 81772536
494 16 81772536 83477208
495 16 83477208 85148685
496 16 85148685 86156599
497 16 86156599 87647349
498 16 87647349 90292812
499 17 56 1172399
500 17 1172399 3702312
501 17 3702312 5741334
502 17 5741334 7317398
503 17 7317398 9965921
504 17 9965921 12534769
505 17 12534769 13894637
506 17 13894637 16412342
507 17 16412342 27334244
508 17 27334244 32912798
509 17 32912798 36809344
510 17 36809344 43056905
511 17 43056905 49898957
512 17 49898957 55357541
513 17 55357541 61545589
514 17 61545589 67858770
515 17 67858770 72672203
516 17 72672203 76263413
517 17 76263413 81194908
518 18 10644 1942911
519 18 1942911 3891658
520 18 3891658 5834180
521 18 5834180 7090485
522 18 7090485 11075913
523 18 11075913 14440799
524 18 14440799 24026191
525 18 24026191 30264066
526 18 30264066 36365490
527 18 36365490 42922106
528 18 42922106 45939732
529 18 45939732 51062185
530 18 51062185 56530220
531 18 56530220 60277715
532 18 60277715 63463402
533 18 63463402 67175820
534 18 67175820 71038474
535 18 71038474 73526987
536 18 73526987 78017158
537 19 80840 2098396
538 19 2098396 4348967
539 19 4348967 6684885
540 19 6684885 8347513
541 19 8347513 13471127
542 19 13471127 15648610
543 19 15648610 18409862
544 19 18409862 29790947
545 19 29790947 32746520
546 19 32746520 36469295
547 19 36469295 42131573
548 19 42131573 46102697
549 19 46102697 49282227
550 19 49282227 51532567
551 19 51532567 54602362
552 19 54602362 55728080
553 19 55728080 59118839
554 20 60479 2469501
555 20 2469501 5477850
556 20 5477850 7084073
557 20 7084073 9730921
558 20 9730921 11249536
559 20 11249536 15958359
560 20 15958359 18972203
561 20 18972203 22491456
562 20 22491456 34960446
563 20 34960446 40585689
564 20 40585689 42680176
565 20 42680176 47199980
566 20 47199980 52472549
567 20 52472549 56447959
568 20 56447959 58406572
569 20 58406572 62965163
570 21 9411243 18053165
571 21 18053165 20962339
572 21 20962339 23362875
573 21 23362875 27271019
574 21 27271019 31197025
575 21 31197025 34376999
576 21 34376999 37870779
577 21 37870779 40482902
578 21 40482902 43321528
579 21 43321528 48119752
580 22 16050408 18296088
581 22 18296088 22357325
582 22 22357325 26791628
583 22 26791628 27834752
584 22 27834752 34494914
585 22 34494914 37570269
586 22 37570269 43714200
587 22 43714200 46470495
588 22 46470495 48903703
589 22 48903703 51243298
